Fecha,Último
04.01.2010,133.9
05.01.2010,134.69
06.01.2010,132.25
07.01.2010,130
08.01.2010,133.52
11.01.2010,130.31
12.01.2010,127.35
13.01.2010,129.11
14.01.2010,127.35
15.01.2010,127.14
19.01.2010,127.61
20.01.2010,125.78
21.01.2010,126.62
22.01.2010,121.43
25.01.2010,120.31
26.01.2010,119.48
27.01.2010,122.75
28.01.2010,126.03
29.01.2010,125.41
01.02.2010,118.87
02.02.2010,118.12
03.02.2010,119.1
04.02.2010,115.94
05.02.2010,117.39
08.02.2010,116.83
09.02.2010,118.03
10.02.2010,117.36
11.02.2010,120.09
12.02.2010,119.66
16.02.2010,117.53
17.02.2010,116.31
18.02.2010,118.08
19.02.2010,117.52
22.02.2010,118.01
23.02.2010,117.24
24.02.2010,119.72
25.02.2010,118.2
26.02.2010,118.4
01.03.2010,124.54
02.03.2010,125.53
03.03.2010,125.89
04.03.2010,128.53
05.03.2010,128.91
08.03.2010,130.11
09.03.2010,128.82
10.03.2010,130.51
11.03.2010,133.58
12.03.2010,131.82
15.03.2010,131.13
16.03.2010,131.79
17.03.2010,131.34
18.03.2010,132.76
19.03.2010,130.35
22.03.2010,130.47
23.03.2010,129.26
24.03.2010,128.04
25.03.2010,134.73
26.03.2010,135.06
29.03.2010,135.12
30.03.2010,136.58
31.03.2010,135.77
01.04.2010,131.81
05.04.2010,131.49
06.04.2010,135.56
07.04.2010,134.87
08.04.2010,140.96
09.04.2010,140.06
12.04.2010,141.2
13.04.2010,140.16
14.04.2010,144.28
15.04.2010,145.82
16.04.2010,142.17
19.04.2010,142.43
20.04.2010,144.2
21.04.2010,146.43
22.04.2010,150.09
23.04.2010,143.63
26.04.2010,147.11
27.04.2010,142.02
28.04.2010,139.35
29.04.2010,141.73
30.04.2010,137.1
03.05.2010,137.49
04.05.2010,129.83
05.05.2010,130.93
06.05.2010,128.71
07.05.2010,124.98
10.05.2010,131.29
11.05.2010,130.46
12.05.2010,133.87
13.05.2010,131.47
14.05.2010,128.53
17.05.2010,128.91
18.05.2010,126.28
19.05.2010,124.59
20.05.2010,119.71
21.05.2010,122.72
24.05.2010,122.12
25.05.2010,124.86
26.05.2010,123.21
27.05.2010,126.7
28.05.2010,125.46
01.06.2010,123.24
02.06.2010,126.31
03.06.2010,128.76
04.06.2010,122.77
07.06.2010,122.01
08.06.2010,118.83
09.06.2010,117.91
10.06.2010,123.21
11.06.2010,123.03
14.06.2010,123.83
15.06.2010,126.84
16.06.2010,126.9
17.06.2010,125.89
18.06.2010,125.83
21.06.2010,122.55
22.06.2010,122.31
23.06.2010,121.45
24.06.2010,118.33
25.06.2010,121
28.06.2010,117.8
29.06.2010,108.61
30.06.2010,109.26
01.07.2010,110.96
02.07.2010,109.14
06.07.2010,110.06
07.07.2010,113.43
08.07.2010,116.22
09.07.2010,117.26
12.07.2010,119.51
13.07.2010,123.65
14.07.2010,123.3
15.07.2010,122.06
16.07.2010,118.49
19.07.2010,119.94
20.07.2010,120.1
21.07.2010,117.43
22.07.2010,120.07
23.07.2010,118.87
26.07.2010,118.4
27.07.2010,117.13
28.07.2010,117.13
29.07.2010,116.86
30.07.2010,117.89
02.08.2010,120.07
03.08.2010,122.42
04.08.2010,127.58
05.08.2010,127.83
06.08.2010,128.32
09.08.2010,128.83
10.08.2010,130
11.08.2010,125.89
12.08.2010,126.56
13.08.2010,124.69
16.08.2010,126.07
17.08.2010,128.86
18.08.2010,129.65
19.08.2010,127.57
20.08.2010,127.76
23.08.2010,126.6
24.08.2010,124.53
25.08.2010,126.85
26.08.2010,124.86
27.08.2010,126.64
30.08.2010,123.79
31.08.2010,124.83
01.09.2010,132.49
02.09.2010,135.21
03.09.2010,138.79
07.09.2010,137.22
08.09.2010,139.14
09.09.2010,140.38
10.09.2010,142.44
13.09.2010,145.07
14.09.2010,145.75
15.09.2010,145.45
16.09.2010,148.13
17.09.2010,148.32
20.09.2010,151.3
21.09.2010,150.73
22.09.2010,151.83
23.09.2010,152.85
24.09.2010,160.73
27.09.2010,159.37
28.09.2010,159.7
29.09.2010,158.99
30.09.2010,157.06
01.10.2010,153.71
04.10.2010,155.39
05.10.2010,160.87
06.10.2010,155.4
07.10.2010,156.27
08.10.2010,155.55
11.10.2010,153.03
12.10.2010,156.48
13.10.2010,155.17
14.10.2010,155.53
15.10.2010,164.64
18.10.2010,163.56
19.10.2010,158.67
20.10.2010,158.67
21.10.2010,164.97
22.10.2010,169.13
25.10.2010,169
26.10.2010,169.95
27.10.2010,167.51
28.10.2010,166.84
29.10.2010,165.23
01.11.2010,162.58
02.11.2010,164.61
03.11.2010,168.47
04.11.2010,168.93
05.11.2010,170.77
08.11.2010,171.99
09.11.2010,170.27
10.11.2010,173.33
11.11.2010,170.37
12.11.2010,165.68
15.11.2010,158.9
16.11.2010,157.78
17.11.2010,158.35
18.11.2010,164.17
19.11.2010,164.82
22.11.2010,170.39
23.11.2010,168.2
24.11.2010,177.25
26.11.2010,177.5
29.11.2010,179.49
30.11.2010,175.4
01.12.2010,176.55
02.12.2010,176.53
03.12.2010,175.68
06.12.2010,178.05
07.12.2010,176.77
08.12.2010,176.29
09.12.2010,174.85
10.12.2010,175.62
13.12.2010,174.25
14.12.2010,173.94
15.12.2010,175.57
16.12.2010,178.04
17.12.2010,177.58
20.12.2010,183.29
21.12.2010,184.75
22.12.2010,184.76
23.12.2010,182.59
27.12.2010,182.14
28.12.2010,181.09
29.12.2010,183.37
30.12.2010,182.75
31.12.2010,180
03.01.2011,184.22
04.01.2011,185.01
05.01.2011,187.42
06.01.2011,185.86
07.01.2011,185.49
10.01.2011,184.68
11.01.2011,184.34
12.01.2011,184.08
13.01.2011,185.53
14.01.2011,188.75
18.01.2011,191.25
19.01.2011,186.87
20.01.2011,181.96
21.01.2011,177.42
24.01.2011,176.85
25.01.2011,176.7
26.01.2011,175.39
27.01.2011,184.45
28.01.2011,171.14
31.01.2011,169.64
01.02.2011,172.11
02.02.2011,173.53
03.02.2011,173.71
04.02.2011,175.93
07.02.2011,176.43
08.02.2011,183.06
09.02.2011,185.3
10.02.2011,186.21
11.02.2011,189.25
14.02.2011,190.42
15.02.2011,189.03
16.02.2011,186.62
17.02.2011,187.76
18.02.2011,186.5
22.02.2011,180.42
23.02.2011,176.68
24.02.2011,177.75
25.02.2011,177.24
28.02.2011,173.29
01.03.2011,169.44
02.03.2011,172.02
03.03.2011,172.79
04.03.2011,171.67
07.03.2011,169.08
08.03.2011,166.89
09.03.2011,169.05
10.03.2011,166.14
11.03.2011,168.07
14.03.2011,166.73
15.03.2011,165.08
16.03.2011,164.7
17.03.2011,160.97
18.03.2011,161.82
21.03.2011,164.53
22.03.2011,162.6
23.03.2011,165.32
24.03.2011,171.1
25.03.2011,170.98
28.03.2011,169.35
29.03.2011,174.62
30.03.2011,179.42
31.03.2011,180.13
01.04.2011,180.13
04.04.2011,182.94
05.04.2011,185.29
06.04.2011,182.76
07.04.2011,184.91
08.04.2011,184.71
11.04.2011,184.04
12.04.2011,180.48
13.04.2011,182.29
14.04.2011,181.82
15.04.2011,180.01
18.04.2011,178.34
19.04.2011,178.82
20.04.2011,183.87
21.04.2011,185.89
25.04.2011,185.42
26.04.2011,182.3
27.04.2011,196.63
28.04.2011,195.07
29.04.2011,195.81
02.05.2011,201.19
03.05.2011,198.45
04.05.2011,199.97
05.05.2011,197.11
06.05.2011,197.6
09.05.2011,200.8
10.05.2011,203.94
11.05.2011,204.38
12.05.2011,206.07
13.05.2011,202.56
16.05.2011,192.51
17.05.2011,194.81
18.05.2011,197.09
19.05.2011,198.81
20.05.2011,198.65
23.05.2011,196.22
24.05.2011,193.27
25.05.2011,192.26
26.05.2011,195
27.05.2011,194.13
31.05.2011,196.69
01.06.2011,192.4
02.06.2011,193.65
03.06.2011,188.32
06.06.2011,185.69
07.06.2011,187.55
08.06.2011,188.05
09.06.2011,189.68
10.06.2011,186.53
13.06.2011,186.29
14.06.2011,189.96
15.06.2011,185.98
16.06.2011,183.65
17.06.2011,186.37
20.06.2011,187.72
21.06.2011,194.23
22.06.2011,191.63
23.06.2011,194.16
24.06.2011,192.55
27.06.2011,201.25
28.06.2011,202.35
29.06.2011,204.18
30.06.2011,204.49
01.07.2011,209.49
05.07.2011,213.19
06.07.2011,214.19
07.07.2011,216.74
08.07.2011,218.28
11.07.2011,212.55
12.07.2011,211.23
13.07.2011,213.5
14.07.2011,210.38
15.07.2011,212.87
18.07.2011,211.53
19.07.2011,218.06
20.07.2011,215.55
21.07.2011,213.21
22.07.2011,216.52
25.07.2011,213.49
26.07.2011,214.18
27.07.2011,222.52
28.07.2011,223.9
29.07.2011,222.52
01.08.2011,221.32
02.08.2011,211.7
03.08.2011,209.96
04.08.2011,201.48
05.08.2011,202.7
08.08.2011,193.7
09.08.2011,205.09
10.08.2011,194.13
11.08.2011,198.36
12.08.2011,202.3
15.08.2011,202.95
16.08.2011,197.68
17.08.2011,195.93
18.08.2011,182.52
19.08.2011,178.93
22.08.2011,177.54
23.08.2011,193.55
24.08.2011,193.73
25.08.2011,192.03
26.08.2011,199.27
29.08.2011,206.53
30.08.2011,210.92
31.08.2011,215.23
01.09.2011,212.54
02.09.2011,210
06.09.2011,216.18
07.09.2011,219.9
08.09.2011,217.26
09.09.2011,211.39
12.09.2011,216.56
13.09.2011,219.53
14.09.2011,222.57
15.09.2011,226.78
16.09.2011,239.3
19.09.2011,241.69
20.09.2011,233.25
21.09.2011,231.87
22.09.2011,223.23
23.09.2011,223.61
26.09.2011,229.85
27.09.2011,224.21
28.09.2011,229.71
29.09.2011,222.44
30.09.2011,216.23
03.10.2011,211.98
04.10.2011,212.5
05.10.2011,219.5
06.10.2011,221.51
07.10.2011,224.74
10.10.2011,231.32
11.10.2011,235.48
12.10.2011,236.81
13.10.2011,236.15
14.10.2011,246.71
17.10.2011,242.33
18.10.2011,243.88
19.10.2011,231.53
20.10.2011,233.61
21.10.2011,234.78
24.10.2011,237.61
25.10.2011,227.15
26.10.2011,198.4
27.10.2011,206.78
28.10.2011,217.32
31.10.2011,213.51
01.11.2011,212.1
02.11.2011,215.62
03.11.2011,218.29
04.11.2011,216.48
07.11.2011,217
08.11.2011,217.99
09.11.2011,211.22
10.11.2011,210.79
11.11.2011,217.39
14.11.2011,218.93
15.11.2011,217.83
16.11.2011,211.99
17.11.2011,204.52
18.11.2011,197.14
21.11.2011,189.25
22.11.2011,192.34
23.11.2011,188.99
25.11.2011,182.4
28.11.2011,194.15
29.11.2011,188.39
30.11.2011,192.29
01.12.2011,197.13
02.12.2011,196.03
05.12.2011,196.24
06.12.2011,191.99
07.12.2011,195.32
08.12.2011,190.48
09.12.2011,193.03
12.12.2011,189.52
13.12.2011,180.51
14.12.2011,180.21
15.12.2011,181.26
16.12.2011,181.26
19.12.2011,179.33
20.12.2011,182.52
21.12.2011,174.35
22.12.2011,179.03
23.12.2011,177.28
27.12.2011,176.27
28.12.2011,173.89
29.12.2011,173.86
30.12.2011,173.1
03.01.2012,179.03
04.01.2012,177.51
05.01.2012,177.61
06.01.2012,182.61
09.01.2012,178.56
10.01.2012,179.34
11.01.2012,178.9
12.01.2012,175.93
13.01.2012,178.42
17.01.2012,181.66
18.01.2012,189.44
19.01.2012,194.45
20.01.2012,190.93
23.01.2012,186.09
24.01.2012,187
25.01.2012,187.8
26.01.2012,193.32
27.01.2012,195.37
30.01.2012,192.15
31.01.2012,194.44
01.02.2012,179.46
02.02.2012,181.72
03.02.2012,187.68
06.02.2012,183.14
07.02.2012,184.19
08.02.2012,185.48
09.02.2012,184.98
10.02.2012,185.54
13.02.2012,191.59
14.02.2012,191.3
15.02.2012,184.47
16.02.2012,179.93
17.02.2012,182.5
21.02.2012,182.26
22.02.2012,180.58
23.02.2012,178.89
24.02.2012,179.13
27.02.2012,178.53
28.02.2012,183.8
29.02.2012,179.69
01.03.2012,180.04
02.03.2012,179.3
05.03.2012,180.26
06.03.2012,181.09
07.03.2012,183.77
08.03.2012,187.64
09.03.2012,184.32
12.03.2012,183.39
13.03.2012,184.59
14.03.2012,182.26
15.03.2012,184.43
16.03.2012,185.05
19.03.2012,185.52
20.03.2012,192.33
21.03.2012,191.73
22.03.2012,192.4
23.03.2012,195.04
26.03.2012,202.87
27.03.2012,205.44
28.03.2012,201.16
29.03.2012,204.61
30.03.2012,202.51
02.04.2012,198.05
03.04.2012,199.66
04.04.2012,193.99
05.04.2012,194.39
09.04.2012,191.87
10.04.2012,186.98
11.04.2012,187.97
12.04.2012,190.69
13.04.2012,188.46
16.04.2012,185.5
17.04.2012,188.39
18.04.2012,191.07
19.04.2012,191.1
20.04.2012,189.98
23.04.2012,188.24
24.04.2012,190.33
25.04.2012,194.42
26.04.2012,195.99
27.04.2012,226.85
30.04.2012,231.9
01.05.2012,230.04
02.05.2012,230.25
03.05.2012,229.45
04.05.2012,223.99
07.05.2012,225.16
08.05.2012,223.9
09.05.2012,222.98
10.05.2012,226.69
11.05.2012,227.68
14.05.2012,222.93
15.05.2012,224.39
16.05.2012,224.06
17.05.2012,218.36
18.05.2012,213.85
21.05.2012,218.11
22.05.2012,215.33
23.05.2012,217.28
24.05.2012,215.24
25.05.2012,212.89
29.05.2012,214.75
30.05.2012,209.23
31.05.2012,212.91
01.06.2012,208.22
04.06.2012,214.57
05.06.2012,213.21
06.06.2012,217.64
07.06.2012,218.8
08.06.2012,218.48
11.06.2012,216.5
12.06.2012,216.42
13.06.2012,214.73
14.06.2012,214.45
15.06.2012,218.35
18.06.2012,222.66
19.06.2012,224.03
20.06.2012,223.02
21.06.2012,220.57
22.06.2012,222.16
25.06.2012,220.07
26.06.2012,225.61
27.06.2012,225.62
28.06.2012,221.31
29.06.2012,228.35
02.07.2012,229.32
03.07.2012,229.53
05.07.2012,227.06
06.07.2012,225.05
09.07.2012,225.05
10.07.2012,219.5
11.07.2012,218.37
12.07.2012,215.36
13.07.2012,218.39
16.07.2012,216.01
17.07.2012,216.93
18.07.2012,217.47
19.07.2012,226.17
20.07.2012,228.29
23.07.2012,226.01
24.07.2012,223.04
25.07.2012,217.05
26.07.2012,220.01
27.07.2012,237.32
30.07.2012,236.09
31.07.2012,233.3
01.08.2012,232.09
02.08.2012,230.81
03.08.2012,234.97
06.08.2012,233.99
07.08.2012,236.56
08.08.2012,234.38
09.08.2012,234.06
10.08.2012,232.75
13.08.2012,232.44
14.08.2012,233.19
15.08.2012,237.42
16.08.2012,241.55
17.08.2012,241.17
20.08.2012,240.35
21.08.2012,239.45
22.08.2012,243.1
23.08.2012,241.2
24.08.2012,245.74
27.08.2012,243.92
28.08.2012,246.11
29.08.2012,247.12
30.08.2012,246.22
31.08.2012,248.27
04.09.2012,247.88
05.09.2012,246.22
06.09.2012,251.38
07.09.2012,259.14
10.09.2012,257.09
11.09.2012,255.67
12.09.2012,255.63
13.09.2012,260.24
14.09.2012,261.27
17.09.2012,258
18.09.2012,258.75
19.09.2012,261.68
20.09.2012,260.81
21.09.2012,257.47
24.09.2012,254.81
25.09.2012,252.46
26.09.2012,249.67
27.09.2012,256.59
28.09.2012,254.32
01.10.2012,252.01
02.10.2012,250.6
03.10.2012,255.92
04.10.2012,260.47
05.10.2012,258.51
08.10.2012,259.06
09.10.2012,250.96
10.10.2012,244.99
11.10.2012,244.22
12.10.2012,242.36
15.10.2012,244.18
16.10.2012,243.94
17.10.2012,247.49
18.10.2012,244.85
19.10.2012,240
22.10.2012,233.78
23.10.2012,234.31
24.10.2012,228.49
25.10.2012,222.92
26.10.2012,238.24
31.10.2012,232.89
01.11.2012,232.14
02.11.2012,232.42
05.11.2012,234.33
06.11.2012,237.56
07.11.2012,232.06
08.11.2012,227.35
09.11.2012,226.31
12.11.2012,226.47
13.11.2012,226.6
14.11.2012,222.95
15.11.2012,220.6
16.11.2012,225.23
19.11.2012,229.71
20.11.2012,233.78
21.11.2012,238.03
23.11.2012,239.88
26.11.2012,243.62
27.11.2012,243.4
28.11.2012,247.11
29.11.2012,251.27
30.11.2012,252.05
03.12.2012,250.33
04.12.2012,252.49
05.12.2012,253.96
06.12.2012,253.37
07.12.2012,253.27
10.12.2012,247.77
11.12.2012,250.69
12.12.2012,251.76
13.12.2012,251.25
14.12.2012,249.19
17.12.2012,253.86
18.12.2012,260.4
19.12.2012,257.99
20.12.2012,261.5
21.12.2012,256.92
24.12.2012,258.62
26.12.2012,248.63
27.12.2012,248.31
28.12.2012,245.18
31.12.2012,250.87
02.01.2013,257.31
03.01.2013,258.48
04.01.2013,259.15
07.01.2013,268.46
08.01.2013,266.38
09.01.2013,266.35
10.01.2013,265.34
11.01.2013,267.94
14.01.2013,272.73
15.01.2013,271.9
16.01.2013,268.93
17.01.2013,270.48
18.01.2013,272.12
22.01.2013,270.19
23.01.2013,268.11
24.01.2013,273.62
25.01.2013,283.99
28.01.2013,276.04
29.01.2013,260.35
30.01.2013,272.76
31.01.2013,265.5
01.02.2013,265
04.02.2013,259.98
05.02.2013,266.89
06.02.2013,262.22
07.02.2013,260.23
08.02.2013,261.95
11.02.2013,257.21
12.02.2013,258.7
13.02.2013,269.47
14.02.2013,269.24
15.02.2013,265.09
19.02.2013,269.75
20.02.2013,266.41
21.02.2013,265.94
22.02.2013,265.42
25.02.2013,259.87
26.02.2013,259.36
27.02.2013,263.25
28.02.2013,264.27
01.03.2013,265.74
04.03.2013,273.11
05.03.2013,275.59
06.03.2013,273.79
07.03.2013,273.88
08.03.2013,274.19
11.03.2013,271.24
12.03.2013,274.13
13.03.2013,275.1
14.03.2013,265.74
15.03.2013,261.82
18.03.2013,257.89
19.03.2013,256.41
20.03.2013,257.28
21.03.2013,253.39
22.03.2013,257.75
25.03.2013,256.02
26.03.2013,260.31
27.03.2013,265.3
28.03.2013,266.49
01.04.2013,261.61
02.04.2013,263.32
03.04.2013,259.03
04.04.2013,259.08
05.04.2013,255.48
08.04.2013,258.95
09.04.2013,261.14
10.04.2013,264.77
11.04.2013,269.85
12.04.2013,272.87
15.04.2013,267.72
16.04.2013,272.34
17.04.2013,267.4
18.04.2013,259.42
19.04.2013,260.32
22.04.2013,263.55
23.04.2013,268.9
24.04.2013,268.78
25.04.2013,274.7
26.04.2013,254.81
29.04.2013,249.74
30.04.2013,253.81
01.05.2013,248.23
02.05.2013,252.55
03.05.2013,258.05
06.05.2013,255.72
07.05.2013,257.73
08.05.2013,258.68
09.05.2013,260.16
10.05.2013,263.63
13.05.2013,264.51
14.05.2013,268.33
15.05.2013,266.56
16.05.2013,264.12
17.05.2013,269.9
20.05.2013,267.63
21.05.2013,268.86
22.05.2013,262.96
23.05.2013,261.8
24.05.2013,261.74
28.05.2013,267.29
29.05.2013,265.53
30.05.2013,266.83
31.05.2013,269.2
03.06.2013,266.88
04.06.2013,265.7
05.06.2013,267.17
06.06.2013,267.83
07.06.2013,276.87
10.06.2013,281.07
11.06.2013,274.78
12.06.2013,271.67
13.06.2013,275.79
14.06.2013,273.99
17.06.2013,278.06
18.06.2013,281.76
19.06.2013,278.16
20.06.2013,273.44
21.06.2013,273.36
24.06.2013,270.61
25.06.2013,272.09
26.06.2013,277.57
27.06.2013,277.55
28.06.2013,277.69
01.07.2013,282.1
02.07.2013,283.73
03.07.2013,284.03
05.07.2013,285.88
08.07.2013,290.59
09.07.2013,291.53
10.07.2013,292.33
11.07.2013,299.66
12.07.2013,307.55
15.07.2013,306.57
16.07.2013,306.87
17.07.2013,308.69
18.07.2013,304.11
19.07.2013,305.23
22.07.2013,303.48
23.07.2013,301.06
24.07.2013,298.94
25.07.2013,303.4
26.07.2013,312.01
29.07.2013,306.1
30.07.2013,302.41
31.07.2013,301.22
01.08.2013,305.57
02.08.2013,304.21
05.08.2013,300.99
06.08.2013,300.75
07.08.2013,296.91
08.08.2013,295.74
09.08.2013,297.26
12.08.2013,296.69
13.08.2013,293.97
14.08.2013,291.34
15.08.2013,286.47
16.08.2013,284.82
19.08.2013,285.57
20.08.2013,287.09
21.08.2013,284.57
22.08.2013,289.73
23.08.2013,290.01
26.08.2013,286.21
27.08.2013,280.93
28.08.2013,281.58
29.08.2013,283.98
30.08.2013,280.98
03.09.2013,288.8
04.09.2013,293.64
05.09.2013,294.1
06.09.2013,295.86
09.09.2013,299.71
10.09.2013,300.36
11.09.2013,299.64
12.09.2013,298.86
13.09.2013,297.92
16.09.2013,296.06
17.09.2013,304.17
18.09.2013,312.03
19.09.2013,312.06
20.09.2013,316.34
23.09.2013,311.49
24.09.2013,314.13
25.09.2013,312.65
26.09.2013,318.12
27.09.2013,316.01
30.09.2013,312.64
01.10.2013,320.95
02.10.2013,320.51
03.10.2013,314.76
04.10.2013,319.04
07.10.2013,310.03
08.10.2013,303.23
09.10.2013,298.23
10.10.2013,305.17
11.10.2013,310.89
14.10.2013,310.7
15.10.2013,306.4
16.10.2013,310.49
17.10.2013,310.77
18.10.2013,328.93
21.10.2013,326.44
22.10.2013,332.54
23.10.2013,326.76
24.10.2013,332.21
25.10.2013,363.39
28.10.2013,358.16
29.10.2013,362.7
30.10.2013,361.08
31.10.2013,364.03
01.11.2013,359
04.11.2013,358.74
05.11.2013,358.89
06.11.2013,356.18
07.11.2013,343.56
08.11.2013,350.31
11.11.2013,354.38
12.11.2013,349.53
13.11.2013,356.22
14.11.2013,367.4
15.11.2013,369.17
18.11.2013,366.18
19.11.2013,364.94
20.11.2013,362.57
21.11.2013,368.92
22.11.2013,372.31
25.11.2013,376.64
26.11.2013,381.37
27.11.2013,386.71
29.11.2013,393.62
02.12.2013,392.3
